ref	null_lambda_bg	null_mu_bg	lambda_bg	mu_bg	me_start	null_lambda_me	null_mu_me	lambda_me	mu_me	re_start	null_lambda_re	null_mu_re	lambda_re	mu_re	re_end	null_lambda_bg1	null_mu_bg1	lambda_bg1	mu_bg1	tmax
base	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	0.4163526174292303	0.12002309473507372	0.41634803208588184	0.12001902530409275	43.8604577284706	0.22497688963717047	0.11997615171991148	0.21551005407478935	0.11999101738663688	49.266511476000844
longME	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.2250323916080924	0.36366108769299704	0.2161643416379693	0.34806923838092596	43.8604577284706	0.41633920560729337	0.12001478337360988	0.41628866414950183	0.1199642081085433	48.8604577284706	0.22504250887757615	0.12003625790743627	0.21531315638671347	0.12003648486278365	52.75889149334634
shortME	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22664066546379283	1.6129357048675075	0.21808113426199777	1.5387800362245587	34.8604577284706	0.4162647262928792	0.11994373348976112	0.4163345969102904	0.12001362415570721	39.8604577284706	0.22504246617480958	0.12004468740423654	0.21581434082574605	0.12004769142930732	46.319011087881684
longRE	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	0.2681743900316001	0.12001106018395402	0.2681700150190219	0.12000682838255064	48.8604577284706	0.22500999954127254	0.12001322464211361	0.21531814989526993	0.1200675537594738	53.44310300172522
shortRE	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	1.601634068544085	0.12004154085890595	1.6016277149165465	0.12003693258871406	39.8604577284706	0.2250135719150947	0.1200114821780844	0.215823873642052	0.12003962685500186	45.87732761502005
hIntME	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22516872996931048	0.6856827427107284	0.21656529898573354	0.6550089581499368	38.8604577284706	0.5995748710349615	0.11999332066307478	0.5995679116797725	0.11999194338661001	43.8604577284706	0.22519778544337576	0.12021061220233646	0.215657429719227	0.12015370371966276	49.51846003076014
lIntME	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.2250506445553484	0.36368390004599266	0.2164119101564768	0.34846600513653647	38.8604577284706	0.27768354732435474	0.11997853317775525	0.2776998653839843	0.11999530872025566	43.8604577284706	0.224995293682531	0.1200133445152422	0.21554781788963226	0.12004107701974813	49.115954651040596
hIntRE	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	0.43375436231924575	0.12002259901394424	0.43382492877713447	0.12009370052880586	43.8604577284706	0.22501405987095205	0.12002658733030237	0.2155556003521722	0.1200305239347389	48.65278807349163
lIntME	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	0.39723018118294884	0.11996268302011359	0.3972857567358451	0.12001874717069122	43.8604577284706	0.22501577164916542	0.12003497407581118	0.21554085891167174	0.12006254468892086	49.955211715489014
highVar	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	0.4163526174292303	0.12002309473507372	0.41634803208588184	0.12001902530409275	43.8604577284706	0.22497688963717047	0.11997615171991148	0.21551005407478935	0.11999101738663688	49.266511476000844
lowVar	0.225	0.11999999999999998	0.22333469843803155	0.12274734249104047	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21645034474356858	0.4804978381907209	38.8604577284706	0.4163526174292303	0.12002309473507372	0.41634803208588184	0.12001902530409275	43.8604577284706	0.22497688963717047	0.11997615171991148	0.21551005407478935	0.11999101738663688	49.266511476000844
highSum	0.225	0.11999999999999998	0.22273549820248395	0.12226587803681203	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21764789918195054	0.4823556034674629	38.8604577284706	0.4163526174292303	0.12002309473507372	0.4163476232180532	0.12001858128867748	43.8604577284706	0.22497688963717047	0.11997615171991148	0.2173574584756676	0.11997470783778719	49.266511476000844
lowSum	0.225	0.11999999999999998	0.22378386584690343	0.12285498660510932	33.8604577284706	0.22507944353261983	0.5023443084289148	0.21607657724318044	0.4801963317778162	38.8604577284706	0.4163526174292303	0.12002309473507372	0.41632788879039595	0.11999887852183494	43.8604577284706	0.22497688963717047	0.11997615171991148	0.21437702428872718	0.12002097796798317	49.266511476000844
